skill_count,coverage,confidence,support_sum,method,train_size
260,0.9111807732497388,1.0,8138,A,100
10,0.8254963427377221,1.0,957,B,100
40,0.8913270637408568,1.0,839,C,100
15,0.9278996865203761,1.0,4106,D,100
130,0.910135841170324,1.0,8762,E,100
227,0.8876898481215028,1.0,19660,A,250
10,0.8585131894484412,1.0,2502,B,250
63,0.8721023181454837,1.0,2218,C,250
19,0.9284572342126299,1.0,10350,D,250
229,0.9236610711430855,1.0,22162,E,250
209,0.9223652453740949,1.0,40037,A,500
10,0.9026548672566371,1.0,4972,B,500
87,0.9109010458567981,1.0,4609,C,500
22,0.9617860016090105,1.0,21236,D,500
211,0.9569589702333066,1.0,45009,E,500
